AB;[R2 U': S, R2]<div>U: opp U perm</div>
BA;[R2 U': R2, S]<div>[U' M2 U: M', U2]</div><div>U: bad U perm</div>
AD;U' - bad U perm<div>[U M2 U: M' U2]</div>
DA;U' - good U perm<div>[U M2 U': M', U2]</div>
AE;[U' M - U' M' U2 M U' - M' U]<br />setup to DB (df)
EA;"[U' M - U M' U2 M U -&nbsp;M' U]<br />setup to BD (df)"
AF;"[U'; R' E R, U2]<div>(immer ccw)</div>"
FA;"[U; R' E R, U2]<div>(immer cw)</div>"
AG;"[U; L' E L, U2]<br />G einsetzen, immer cw"
GA;"[U'; L' E L, U2]<br />A einsetzen, immer ccw"
AH;"[U'; R E' R', U2]"
HA;"[U; R E' R', U2]"
AJ;[R' U': S, R2]<div>setup zu DB (df) auf der Seite</div>
JA;[R' U: S, R2]<div>setup zu BD (df) auf der Seite</div>
AK;[U - M U' M U2 M' U' M' - U']<br /><div>setup zu EM (df)</div>
KA;[U' - M U' M U2 M' U' M' - U]<br /><div>setup zu EM (df)</div>
AL;[L U: S', L2]<div>setup zu DB (df) auf der Seite<br />L einsetzen</div>
LA;[L U': S', L2]<div>setup zu DB (df) auf der Seite<br />A einsetzen</div>
AM;[S U': S R2 S' R2]<div>setup zu CA von der Seite</div>
MA;[S U: S R2 S' R2]<br />setup zu CA von der Seite
AN;"[U; L' E L, U2]<br />immer cw"
NA;"[U'; L' E L, U2]<br />immer ccw"
AO;"[U'; R' E' R, U2]"
OA;"[U; R' E' R, U2]"
AP;"[U; L E' L', U2]"
PA;"[U'; L E' L', U2]"
AR;[L' U: S', L2]
RA;[L' U': S', L2]
AS;[U' - M' U' M' U2 M U' M - U]
SA;[U - M' U' M' U2 M U' M - U']
AT;[R U': S, R2]
TA;[R U: S, R2]
AU;U2 M' U2 M
UA;M' U2 M U2
AV;[U': S, R2]
VA;[U: S, R2]
AW;M U2 M' U2
WA;U2 M U2 M'
AX;[U: S' L2]
XA;[U': S' L2]
BD;bad U perm
DB;good U perm
BE;[S', L F' L']
EB;[L F' L', S']
BF;[U', R' E R]
FB;[R' E R, U']
BG;"[U; L E L', U]<div>[M D M', U]</div>"
GB;"[U; U, L E L']<div>[U, M D M']</div>"
BH;[U', R E' R']
HB;[R E' R', U']
BJ;[E': U', R' E R]
JB;[E': R' E R, U']
BK;"[r; U' R' U, M]<br />R' statt M' r' am Schluss"
KB;"[r; M, U' R' U]<br />R statt M r am Anfang"
BL;[U', R E2 R']
LB;[R E2 R', U']
BN;"[U; L' E L, U]"
NB;"[U; U, L' E L]"
BO;[U', R' E' R]
OB;[R' E' R, U']
BP;"[U; L E' L', U]"
PB;"[U; U, L E' L']"
BQ;"[r'; U' R U, M']<br />am Schluss R statt M r"
QB;"[r'; M', U' R U]<br />am Anfang R' statt r' M'"
BR;[U', R' E2 R]
RB;[R' E2 R, U']
BS;(U M U M')*2
SB;(M U' M' U')*2
BT;R U R U R U' R' U' R' U'<div>[E: U', R E' R']</div>
TB;<div>[E: R E' R', U']</div><div>U R U R U R' U' R' U' R'</div>
BU;[M U2 M, U]
UB;[U, M U2 M]
BV;"[R' U R'; S, R2]"
VB;"[R U R'; S, R2]"
BW;"<div>U2 M' U2 M' U M U2 M U</div>[r'M; U' R U, M2]<br />R am Schluss statt M2 r M'"
